adjectifs,ensembles des traits morpho,catégorie
acadien,"[('acadien', 'ms'), ('acadienne', 'fs'), ('acadiennes', 'fp'), ('acadiens', 'mp')]",variations en genre audible et en nombre silencieuses
académique,"[('académique', 's'), ('académiques', 'p')]",variations en genre et en nombre silencieuses
acajou,"[('acajou', '')]",variations en genre et en nombre silencieuses
acariâtre,"[('acariâtre', 's'), ('acariâtres', 'p')]",variations en genre et en nombre silencieuses
acaule,"[('acaule', 's'), ('acaules', 'p')]",variations en genre et en nombre silencieuses
accablant,"[('accablant', 'ms'), ('accablante', 'fs'), ('accablantes', 'fp'), ('accablants', 'mp')]",variations en genre audible et en nombre silencieuses
accaparant,"[('accaparant', 'ms'), ('accaparante', 'fs'), ('accaparantes', 'fp'), ('accaparants', 'mp')]",variations en genre audible et en nombre silencieuses
accapareur,"[('accapareur', 'ms'), ('accapareurs', 'mp'), ('accapareuse', 'fs'), ('accapareuses', 'fp')]",invariable
accentuel,"[('accentuel', 'ms'), ('accentuelle', 'fs'), ('accentuelles', 'fp'), ('accentuels', 'mp')]",variations en genre et en nombre silencieuses
accentué,"[('accentué', 'ms'), ('accentuée', 'fs'), ('accentuées', 'fp'), ('accentués', 'mp')]",variations en genre et en nombre silencieuses
acceptable,"[('acceptable', 's'), ('acceptables', 'p')]",variations en genre et en nombre silencieuses
acceptant,"[('acceptant', 'ms'), ('acceptante', 'fs'), ('acceptantes', 'fp'), ('acceptants', 'mp')]",variations en genre audible et en nombre silencieuses
accepteur,"[('accepteur', 'ms'), ('accepteurs', 'mp'), ('acceptrice', 'fs'), ('acceptrices', 'fp')]",invariable
accessible,"[('accessible', 's'), ('accessibles', 'p')]",variations en genre et en nombre silencieuses
accessoire,"[('accessoire', 's'), ('accessoires', 'p')]",variations en genre et en nombre silencieuses
accidentel,"[('accidentel', 'ms'), ('accidentelle', 'fs'), ('accidentelles', 'fp'), ('accidentels', 'mp')]",variations en genre et en nombre silencieuses
accidenté,"[('accidenté', 'ms'), ('accidentée', 'fs'), ('accidentées', 'fp'), ('accidentés', 'mp')]",variations en genre et en nombre silencieuses
acclimatable,"[('acclimatable', 's'), ('acclimatables', 'p')]",variations en genre et en nombre silencieuses
accolé,"[('accolé', 'ms'), ('accolée', 'fs'), ('accolées', 'fp'), ('accolés', 'mp')]",variations en genre et en nombre silencieuses
accommodant,"[('accommodant', 'ms'), ('accommodante', 'fs'), ('accommodantes', 'fp'), ('accommodants', 'mp')]",variations en genre audible et en nombre silencieuses
accommodateur,"[('accommodateur', 'ms'), ('accommodateurs', 'mp'), ('accommodatrice', 'fs'), ('accommodatrices', 'fp')]",invariable
accommodé,"[('accommodé', 'ms'), ('accommodée', 'fs'), ('accommodées', 'fp'), ('accommodés', 'mp')]",variations en genre et en nombre silencieuses
accompagné,"[('accompagné', 'ms'), ('accompagnée', 'fs'), ('accompagnées', 'fp'), ('accompagnés', 'mp')]",variations en genre et en nombre silencieuses
accompli,"[('accompli', 'ms'), ('accomplie', 'fs'), ('accomplies', 'fp'), ('accomplis', 'mp')]",variations en genre et en nombre silencieuses
accordable,"[('accordable', 's'), ('accordables', 'p')]",variations en genre et en nombre silencieuses
accore,"[('accore', 's'), ('accores', 'p')]",variations en genre et en nombre silencieuses
accort,"[('accort', 'ms'), ('accorte', 'fs'), ('accortes', 'fp'), ('accorts', 'mp')]",variations en genre audible et en nombre silencieuses
accostable,"[('accostable', 's'), ('accostables', 'p')]",variations en genre et en nombre silencieuses
