adjectifs,ensembles des traits morpho,catégorie
identique,"[('identique', 's'), ('identiques', 'p')]",variations en genre et en nombre silencieuses
identitaire,"[('identitaire', 's'), ('identitaires', 'p')]",variations en genre et en nombre silencieuses
idiomatique,"[('idiomatique', 's'), ('idiomatiques', 'p')]",variations en genre et en nombre silencieuses
idiopathique,"[('idiopathique', 's'), ('idiopathiques', 'p')]",variations en genre et en nombre silencieuses
idiot,"[('idiot', 'ms'), ('idiote', 'fs'), ('idiotes', 'fp'), ('idiots', 'mp')]",variations en genre audible et en nombre silencieuses
idoine,"[('idoine', 's'), ('idoines', 'p')]",variations en genre et en nombre silencieuses
idolâtre,"[('idolâtre', 's'), ('idolâtres', 'p')]",variations en genre et en nombre silencieuses
idolâtrique,"[('idolâtrique', 's'), ('idolâtriques', 'p')]",variations en genre et en nombre silencieuses
idyllique,"[('idyllique', 's'), ('idylliques', 'p')]",variations en genre et en nombre silencieuses
idéal,"[('idéal', 'ms'), ('idéale', 'fs'), ('idéales', 'fp'), ('idéals', 'mp'), ('idéaux', 'mp')]",variations en genre silencieuses et en nombre audibles au masculin mais silencieuses au féminin
idéalisateur,"[('idéalisateur', 'ms'), ('idéalisateurs', 'mp'), ('idéalisatrice', 'fs'), ('idéalisatrices', 'fp')]",invariable
idéaliste,"[('idéaliste', 's'), ('idéalistes', 'p')]",variations en genre et en nombre silencieuses
idéationnel,"[('idéationnel', 'ms'), ('idéationnelle', 'fs'), ('idéationnelles', 'fp'), ('idéationnels', 'mp')]",variations en genre et en nombre silencieuses
idéel,"[('idéel', 'ms'), ('idéelle', 'fs'), ('idéelles', 'fp'), ('idéels', 'mp')]",variations en genre et en nombre silencieuses
idéographique,"[('idéographique', 's'), ('idéographiques', 'p')]",variations en genre et en nombre silencieuses
idéologique,"[('idéologique', 's'), ('idéologiques', 'p')]",variations en genre et en nombre silencieuses
ignacien,"[('ignacien', 'ms'), ('ignacienne', 'fs'), ('ignaciennes', 'fp'), ('ignaciens', 'mp')]",variations en genre audible et en nombre silencieuses
ignare,"[('ignare', 's'), ('ignares', 'p')]",variations en genre et en nombre silencieuses
ignifuge,"[('ignifuge', 's'), ('ignifuges', 'p')]",variations en genre et en nombre silencieuses
ignifugeant,"[('ignifugeant', 'ms'), ('ignifugeante', 'fs'), ('ignifugeantes', 'fp'), ('ignifugeants', 'mp')]",variations en genre audible et en nombre silencieuses
ignifugé,"[('ignifugé', 'ms'), ('ignifugée', 'fs'), ('ignifugées', 'fp'), ('ignifugés', 'mp')]",variations en genre et en nombre silencieuses
ignivome,"[('ignivome', 's'), ('ignivomes', 'p')]",variations en genre et en nombre silencieuses
ignoble,"[('ignoble', 's'), ('ignobles', 'p')]",variations en genre et en nombre silencieuses
ignominieux,"[('ignominieuse', 'fs'), ('ignominieuses', 'fp'), ('ignominieux', 'm')]",variations en genre audible et en nombre silencieuses
ignorant,"[('ignorant', 'ms'), ('ignorante', 'fs'), ('ignorantes', 'fp'), ('ignorants', 'mp')]",variations en genre audible et en nombre silencieuses
ignorantin,"[('ignorantin', 'ms')]",invariable
igné,"[('igné', 'ms'), ('ignée', 'fs'), ('ignées', 'fp'), ('ignés', 'mp')]",variations en genre et en nombre silencieuses
ijaw,"[('ijaw', 'ms'), ('ijawe', 'fs'), ('ijawes', 'fp'), ('ijaws', 'mp')]",invariable
iliaque,"[('iliaque', 's'), ('iliaques', 'p')]",variations en genre et en nombre silencieuses
illettré,"[('illettré', 'ms'), ('illettrée', 'fs'), ('illettrées', 'fp'), ('illettrés', 'mp')]",variations en genre et en nombre silencieuses
illicite,"[('illicite', 's'), ('illicites', 'p')]",variations en genre et en nombre silencieuses
illimité,"[('illimité', 'ms'), ('illimitée', 'fs'), ('illimitées', 'fp'), ('illimités', 'mp')]",variations en genre et en nombre silencieuses
illisible,"[('illisible', 's'), ('illisibles', 'p')]",variations en genre et en nombre silencieuses
illocutoire,"[('illocutoire', 's'), ('illocutoires', 'p')]",variations en genre et en nombre silencieuses
illogique,"[('illogique', 's'), ('illogiques', 'p')]",variations en genre et en nombre silencieuses
illuminé,"[('illuminé', 'ms'), ('illuminée', 'fs'), ('illuminées', 'fp'), ('illuminés', 'mp')]",variations en genre et en nombre silencieuses
illusionniste,"[('illusionniste', 's'), ('illusionnistes', 'p')]",variations en genre et en nombre silencieuses
illusoire,"[('illusoire', 's'), ('illusoires', 'p')]",variations en genre et en nombre silencieuses
illustratif,"[('illustratif', 'ms'), ('illustratifs', 'mp'), ('illustrative', 'fs'), ('illustratives', 'fp')]",variations en genre audible et en nombre silencieuses
illustre,"[('illustre', 's'), ('illustres', 'p')]",variations en genre et en nombre silencieuses
illustré,"[('illustré', 'ms'), ('illustrée', 'fs'), ('illustrées', 'fp'), ('illustrés', 'mp')]",variations en genre et en nombre silencieuses
illyrien,"[('illyrien', 'ms'), ('illyrienne', 'fs'), ('illyriennes', 'fp'), ('illyriens', 'mp')]",variations en genre audible et en nombre silencieuses
illégal,"[('illégal', 'ms'), ('illégale', 'fs'), ('illégales', 'fp'), ('illégaux', 'mp')]",variations en genre silencieuses et en nombre audibles au masculin mais silencieuses au féminin
illégitime,"[('illégitime', 's'), ('illégitimes', 'p')]",variations en genre et en nombre silencieuses
iléal,"[('iléal', 'ms'), ('iléale', 'fs'), ('iléales', 'fp'), ('iléaux', 'mp')]",variations en genre silencieuses et en nombre audibles au masculin mais silencieuses au féminin
iléo-caecal,"[('iléo-caecal', 'ms'), ('iléo-caecale', 'fs'), ('iléo-caecales', 'fp'), ('iléo-caecaux', 'mp')]",variations en genre silencieuses et en nombre audibles au masculin mais silencieuses au féminin
imagier,"[('imagier', 'ms'), ('imagiers', 'mp'), ('imagière', 'fs'), ('imagières', 'fp')]",variations en genre et en nombre silencieuses
imaginable,"[('imaginable', 's'), ('imaginables', 'p')]",variations en genre et en nombre silencieuses
imaginaire,"[('imaginaire', 's'), ('imaginaires', 'p')]",variations en genre et en nombre silencieuses
imaginal,"[('imaginal', 'ms'), ('imaginale', 'fs'), ('imaginales', 'fp'), ('imaginaux', 'mp')]",variations en genre silencieuses et en nombre audibles au masculin mais silencieuses au féminin
imaginant,"[('imaginant', 'ms'), ('imaginante', 'fs'), ('imaginantes', 'fp'), ('imaginants', 'mp')]",variations en genre audible et en nombre silencieuses
imaginatif,"[('imaginatif', 'ms'), ('imaginatifs', 'mp'), ('imaginative', 'fs'), ('imaginatives', 'fp')]",variations en genre audible et en nombre silencieuses
imagé,"[('imagé', 'ms'), ('imagée', 'fs'), ('imagées', 'fp'), ('imagés', 'mp')]",variations en genre et en nombre silencieuses
imbattable,"[('imbattable', 's'), ('imbattables', 'p')]",variations en genre et en nombre silencieuses
imberbe,"[('imberbe', 's'), ('imberbes', 'p')]",variations en genre et en nombre silencieuses
imbriqué,"[('imbriqué', 'ms'), ('imbriquée', 'fs'), ('imbriquées', 'fp'), ('imbriqués', 'mp')]",variations en genre et en nombre silencieuses
imbrûlé,"[('imbrûlé', 'ms'), ('imbrûlée', 'fs'), ('imbrûlées', 'fp'), ('imbrûlés', 'mp')]",variations en genre et en nombre silencieuses
imbu,"[('imbu', 'ms'), ('imbue', 'fs'), ('imbues', 'fp'), ('imbus', 'mp')]",variations en genre et en nombre silencieuses
imbuvable,"[('imbuvable', 's'), ('imbuvables', 'p')]",variations en genre et en nombre silencieuses
imbécile,"[('imbécile', 's'), ('imbéciles', 'p')]",variations en genre et en nombre silencieuses
imitable,"[('imitable', 's'), ('imitables', 'p')]",variations en genre et en nombre silencieuses
imitateur,"[('imitateur', 'ms'), ('imitateurs', 'mp'), ('imitatrice', 'fs'), ('imitatrices', 'fp')]",invariable
imitatif,"[('imitatif', 'ms'), ('imitatifs', 'mp'), ('imitative', 'fs'), ('imitatives', 'fp')]",variations en genre audible et en nombre silencieuses
imité,"[('imité', 'ms'), ('imitée', 'fs'), ('imitées', 'fp'), ('imités', 'mp')]",variations en genre et en nombre silencieuses
immaculé,"[('immaculé', 'ms'), ('immaculée', 'fs'), ('immaculées', 'fp'), ('immaculés', 'mp')]",variations en genre et en nombre silencieuses
immanent,"[('immanent', 'ms'), ('immanente', 'fs'), ('immanentes', 'fp'), ('immanents', 'mp')]",variations en genre audible et en nombre silencieuses
immanentiste,"[('immanentiste', 's'), ('immanentistes', 'p')]",variations en genre et en nombre silencieuses
immangeable,"[('immangeable', 's'), ('immangeables', 'p')]",variations en genre et en nombre silencieuses
immanquable,"[('immanquable', 's'), ('immanquables', 'p')]",variations en genre et en nombre silencieuses
immarcescible,"[('immarcescible', 's'), ('immarcescibles', 'p')]",variations en genre et en nombre silencieuses
immariable,"[('immariable', 's'), ('immariables', 'p')]",variations en genre et en nombre silencieuses
immature,"[('immature', 's'), ('immatures', 'p')]",variations en genre et en nombre silencieuses
immatérialiste,"[('immatérialiste', 's'), ('immatérialistes', 'p')]",variations en genre et en nombre silencieuses
immatériel,"[('immatériel', 'ms'), ('immatérielle', 'fs'), ('immatérielles', 'fp'), ('immatériels', 'mp')]",variations en genre et en nombre silencieuses
immense,"[('immense', 's'), ('immenses', 'p')]",variations en genre et en nombre silencieuses
immensurable,"[('immensurable', 's'), ('immensurables', 'p')]",variations en genre et en nombre silencieuses
immergé,"[('immergé', 'ms'), ('immergée', 'fs'), ('immergées', 'fp'), ('immergés', 'mp')]",variations en genre et en nombre silencieuses
immersif,"[('immersif', 'ms'), ('immersifs', 'mp'), ('immersive', 'fs'), ('immersives', 'fp')]",variations en genre audible et en nombre silencieuses
immettable,"[('immettable', 's'), ('immettables', 'p')]",variations en genre et en nombre silencieuses
immeuble,"[('immeuble', 's'), ('immeubles', 'p')]",variations en genre et en nombre silencieuses
immigrant,"[('immigrant', 'ms'), ('immigrante', 'fs'), ('immigrantes', 'fp'), ('immigrants', 'mp')]",variations en genre audible et en nombre silencieuses
immigré,"[('immigré', 'ms'), ('immigrée', 'fs'), ('immigrées', 'fp'), ('immigrés', 'mp')]",variations en genre et en nombre silencieuses
imminent,"[('imminent', 'ms'), ('imminente', 'fs'), ('imminentes', 'fp'), ('imminents', 'mp')]",variations en genre audible et en nombre silencieuses
immobile,"[('immobile', 's'), ('immobiles', 'p')]",variations en genre et en nombre silencieuses
immobilier,"[('immobilier', 'ms'), ('immobiliers', 'mp'), ('immobilière', 'fs'), ('immobilières', 'fp')]",variations en genre et en nombre silencieuses
immobiliste,"[('immobiliste', 's'), ('immobilistes', 'p')]",variations en genre et en nombre silencieuses
immodeste,"[('immodeste', 's'), ('immodestes', 'p')]",variations en genre et en nombre silencieuses
immodéré,"[('immodéré', 'ms'), ('immodérée', 'fs'), ('immodérées', 'fp'), ('immodérés', 'mp')]",variations en genre et en nombre silencieuses
immonde,"[('immonde', 's'), ('immondes', 'p')]",variations en genre et en nombre silencieuses
immoral,"[('immoral', 'ms'), ('immorale', 'fs'), ('immorales', 'fp'), ('immoraux', 'mp')]",variations en genre silencieuses et en nombre audibles au masculin mais silencieuses au féminin
immoraliste,"[('immoraliste', 's'), ('immoralistes', 'p')]",variations en genre et en nombre silencieuses
immortel,"[('immortel', 'ms'), ('immortelle', 'fs'), ('immortelles', 'fp'), ('immortels', 'mp')]",variations en genre et en nombre silencieuses
immotivé,"[('immotivé', 'ms'), ('immotivée', 'fs'), ('immotivées', 'fp'), ('immotivés', 'mp')]",variations en genre et en nombre silencieuses
immuable,"[('immuable', 's'), ('immuables', 'p')]",variations en genre et en nombre silencieuses
immun,"[('immun', 'ms'), ('immune', 'fs'), ('immunes', 'fp'), ('immuns', 'mp')]",variations en genre audible et en nombre silencieuses
immunisant,"[('immunisant', 'ms'), ('immunisante', 'fs'), ('immunisantes', 'fp'), ('immunisants', 'mp')]",variations en genre audible et en nombre silencieuses
immunitaire,"[('immunitaire', 's'), ('immunitaires', 'p')]",variations en genre et en nombre silencieuses
immunocompétent,"[('immunocompétent', 'ms'), ('immunocompétente', 'fs'), ('immunocompétentes', 'fp'), ('immunocompétents', 'mp')]",variations en genre audible et en nombre silencieuses
immunodépresseur,"[('immunodépresseur', 'ms')]",invariable
immunodépressif,"[('immunodépressif', 'ms'), ('immunodépressifs', 'mp'), ('immunodépressive', 'fs'), ('immunodépressives', 'fp')]",variations en genre audible et en nombre silencieuses
immunodéprimé,"[('immunodéprimé', 'ms'), ('immunodéprimée', 'fs'), ('immunodéprimées', 'fp'), ('immunodéprimés', 'mp')]",variations en genre et en nombre silencieuses
immunogène,"[('immunogène', 's'), ('immunogènes', 'p')]",variations en genre et en nombre silencieuses
immunologique,"[('immunologique', 's'), ('immunologiques', 'p')]",variations en genre et en nombre silencieuses
immunosuppresseur,"[('immunosuppresseur', 'ms')]",invariable
immunotolérant,"[('immunotolérant', 'ms'), ('immunotolérante', 'fs'), ('immunotolérantes', 'fp'), ('immunotolérants', 'mp')]",variations en genre audible et en nombre silencieuses
immédiat,"[('immédiat', 'ms'), ('immédiate', 'fs'), ('immédiates', 'fp'), ('immédiats', 'mp')]",variations en genre audible et en nombre silencieuses
immémorial,"[('immémorial', 'ms'), ('immémoriale', 'fs'), ('immémoriales', 'fp'), ('immémoriaux', 'mp')]",variations en genre silencieuses et en nombre audibles au masculin mais silencieuses au féminin
immérité,"[('immérité', 'ms'), ('imméritée', 'fs'), ('imméritées', 'fp'), ('immérités', 'mp')]",variations en genre et en nombre silencieuses
impair,"[('impair', 'ms'), ('impaire', 'fs'), ('impaires', 'fp'), ('impairs', 'mp')]",variations en genre et en nombre silencieuses
impalpable,"[('impalpable', 's'), ('impalpables', 'p')]",variations en genre et en nombre silencieuses
impaludé,"[('impaludé', 'ms'), ('impaludée', 'fs'), ('impaludées', 'fp'), ('impaludés', 'mp')]",variations en genre et en nombre silencieuses
imparable,"[('imparable', 's'), ('imparables', 'p')]",variations en genre et en nombre silencieuses
impardonnable,"[('impardonnable', 's'), ('impardonnables', 'p')]",variations en genre et en nombre silencieuses
imparfait,"[('imparfait', 'ms'), ('imparfaite', 'fs'), ('imparfaites', 'fp'), ('imparfaits', 'mp')]",variations en genre audible et en nombre silencieuses
imparidigité,"[('imparidigité', 'ms'), ('imparidigitée', 'fs'), ('imparidigitées', 'fp'), ('imparidigités', 'mp')]",variations en genre et en nombre silencieuses
imparipenné,"[('imparipenné', 'ms'), ('imparipennée', 'fs'), ('imparipennées', 'fp'), ('imparipennés', 'mp')]",variations en genre et en nombre silencieuses
imparisyllabique,"[('imparisyllabique', 's'), ('imparisyllabiques', 'p')]",variations en genre et en nombre silencieuses
impartageable,"[('impartageable', 's'), ('impartageables', 'p')]",variations en genre et en nombre silencieuses
impartial,"[('impartial', 'ms'), ('impartiale', 'fs'), ('impartiales', 'fp'), ('impartiaux', 'mp')]",variations en genre silencieuses et en nombre audibles au masculin mais silencieuses au féminin
impassible,"[('impassible', 's'), ('impassibles', 'p')]",variations en genre et en nombre silencieuses
impatient,"[('impatient', 'ms'), ('impatiente', 'fs'), ('impatientes', 'fp'), ('impatients', 'mp')]",variations en genre audible et en nombre silencieuses
impatientant,"[('impatientant', 'ms'), ('impatientante', 'fs'), ('impatientantes', 'fp'), ('impatientants', 'mp')]",variations en genre audible et en nombre silencieuses
impavide,"[('impavide', 's'), ('impavides', 'p')]",variations en genre et en nombre silencieuses
impayable,"[('impayable', 's'), ('impayables', 'p')]",variations en genre et en nombre silencieuses
impayé,"[('impayé', 'ms'), ('impayée', 'fs'), ('impayées', 'fp'), ('impayés', 'mp')]",variations en genre et en nombre silencieuses
impeccable,"[('impecc', 's'), ('impeccable', 's'), ('impeccables', 'p')]",variations en genre et en nombre silencieuses
impensable,"[('impensable', 's'), ('impensables', 'p')]",variations en genre et en nombre silencieuses
impensé,"[('impensé', 'ms'), ('impensée', 'fs'), ('impensées', 'fp'), ('impensés', 'mp')]",variations en genre et en nombre silencieuses
imperceptible,"[('imperceptible', 's'), ('imperceptibles', 'p')]",variations en genre et en nombre silencieuses
imperdable,"[('imperdable', 's'), ('imperdables', 'p')]",variations en genre et en nombre silencieuses
imperfectible,"[('imperfectible', 's'), ('imperfectibles', 'p')]",variations en genre et en nombre silencieuses
imperfectif,"[('imperfectif', 'ms'), ('imperfectifs', 'mp'), ('imperfective', 'fs'), ('imperfectives', 'fp')]",variations en genre audible et en nombre silencieuses
imperméabilisant,"[('imperméabilisant', 'ms'), ('imperméabilisante', 'fs'), ('imperméabilisantes', 'fp'), ('imperméabilisants', 'mp')]",variations en genre audible et en nombre silencieuses
imperméable,"[('imperméable', 's'), ('imperméables', 'p')]",variations en genre et en nombre silencieuses
impersonnel,"[('impersonnel', 'ms'), ('impersonnelle', 'fs'), ('impersonnelles', 'fp'), ('impersonnels', 'mp')]",variations en genre et en nombre silencieuses
impertinent,"[('impertinent', 'ms'), ('impertinente', 'fs'), ('impertinentes', 'fp'), ('impertinents', 'mp')]",variations en genre audible et en nombre silencieuses
imperturbable,"[('imperturbable', 's'), ('imperturbables', 'p')]",variations en genre et en nombre silencieuses
impie,"[('impie', 's'), ('impies', 'p')]",variations en genre et en nombre silencieuses
impitoyable,"[('impitoyable', 's'), ('impitoyables', 'p')]",variations en genre et en nombre silencieuses
implacable,"[('implacable', 's'), ('implacables', 'p')]",variations en genre et en nombre silencieuses
implantable,"[('implantable', 's'), ('implantables', 'p')]",variations en genre et en nombre silencieuses
implexe,"[('implexe', 's'), ('implexes', 'p')]",variations en genre et en nombre silencieuses
implicite,"[('implicite', 's'), ('implicites', 'p')]",variations en genre et en nombre silencieuses
implorant,"[('implorant', 'ms'), ('implorante', 'fs'), ('implorantes', 'fp'), ('implorants', 'mp')]",variations en genre audible et en nombre silencieuses
implosif,"[('implosif', 'ms'), ('implosifs', 'mp'), ('implosive', 'fs'), ('implosives', 'fp')]",variations en genre audible et en nombre silencieuses
implémenté,"[('implémenté', 'ms'), ('implémentée', 'fs'), ('implémentées', 'fp'), ('implémentés', 'mp')]",variations en genre et en nombre silencieuses
impoli,"[('impoli', 'ms'), ('impolie', 'fs'), ('impolies', 'fp'), ('impolis', 'mp')]",variations en genre et en nombre silencieuses
impolitique,"[('impolitique', 's'), ('impolitiques', 'p')]",variations en genre et en nombre silencieuses
impondérable,"[('impondérable', 's'), ('impondérables', 'p')]",variations en genre et en nombre silencieuses
impopulaire,"[('impopulaire', 's'), ('impopulaires', 'p')]",variations en genre et en nombre silencieuses
importable,"[('importable', 's'), ('importables', 'p')]",variations en genre et en nombre silencieuses
important,"[('important', 'ms'), ('importante', 'fs'), ('importantes', 'fp'), ('importants', 'mp')]",variations en genre audible et en nombre silencieuses
importateur,"[('importateur', 'ms'), ('importateurs', 'mp'), ('importatrice', 'fs'), ('importatrices', 'fp')]",invariable
importun,"[('importun', 'ms'), ('importune', 'fs'), ('importunes', 'fp'), ('importuns', 'mp')]",variations en genre audible et en nombre silencieuses
imposable,"[('imposable', 's'), ('imposables', 'p')]",variations en genre et en nombre silencieuses
imposant,"[('imposant', 'ms'), ('imposante', 'fs'), ('imposantes', 'fp'), ('imposants', 'mp')]",variations en genre audible et en nombre silencieuses
impossible,"[('impossible', 's'), ('impossibles', 'p')]",variations en genre et en nombre silencieuses
impotent,"[('impotent', 'ms'), ('impotente', 'fs'), ('impotentes', 'fp'), ('impotents', 'mp')]",variations en genre audible et en nombre silencieuses
impraticable,"[('impraticable', 's'), ('impraticables', 'p')]",variations en genre et en nombre silencieuses
imprenable,"[('imprenable', 's'), ('imprenables', 'p')]",variations en genre et en nombre silencieuses
imprescriptible,"[('imprescriptible', 's'), ('imprescriptibles', 'p')]",variations en genre et en nombre silencieuses
impressionnable,"[('impressionnable', 's'), ('impressionnables', 'p')]",variations en genre et en nombre silencieuses
impressionnant,"[('impressionnant', 'ms'), ('impressionnante', 'fs'), ('impressionnantes', 'fp'), ('impressionnants', 'mp')]",variations en genre audible et en nombre silencieuses
impressionniste,"[('impressionniste', 's'), ('impressionnistes', 'p')]",variations en genre et en nombre silencieuses
imprimable,"[('imprimable', 's'), ('imprimables', 'p')]",variations en genre et en nombre silencieuses
imprimant,"[('imprimant', 'ms'), ('imprimante', 'fs'), ('imprimantes', 'fp'), ('imprimants', 'mp')]",variations en genre audible et en nombre silencieuses
imprimé,"[('imprimé', 'ms'), ('imprimée', 'fs'), ('imprimées', 'fp'), ('imprimés', 'mp')]",variations en genre et en nombre silencieuses
improbable,"[('improbable', 's'), ('improbables', 'p')]",variations en genre et en nombre silencieuses
improductif,"[('improductif', 'ms'), ('improductifs', 'mp'), ('improductive', 'fs'), ('improductives', 'fp')]",variations en genre audible et en nombre silencieuses
impromptu,"[('impromptu', 'ms'), ('impromptue', 'fs'), ('impromptues', 'fp'), ('impromptus', 'mp')]",variations en genre et en nombre silencieuses
imprononçable,"[('imprononçable', 's'), ('imprononçables', 'p')]",variations en genre et en nombre silencieuses
impropre,"[('impropre', 's'), ('impropres', 'p')]",variations en genre et en nombre silencieuses
improuvable,"[('improuvable', 's'), ('improuvables', 'p')]",variations en genre et en nombre silencieuses
improuvé,"[('improuvé', 'ms'), ('improuvée', 'fs'), ('improuvées', 'fp'), ('improuvés', 'mp')]",variations en genre et en nombre silencieuses
imprudent,"[('imprudent', 'ms'), ('imprudente', 'fs'), ('imprudentes', 'fp'), ('imprudents', 'mp')]",variations en genre audible et en nombre silencieuses
imprécatoire,"[('imprécatoire', 's'), ('imprécatoires', 'p')]",variations en genre et en nombre silencieuses
imprécis,"[('imprécis', 'm'), ('imprécise', 'fs'), ('imprécises', 'fp')]",variations en genre audible et en nombre silencieuses
imprévisible,"[('imprévisible', 's'), ('imprévisibles', 'p')]",variations en genre et en nombre silencieuses
imprévoyant,"[('imprévoyant', 'ms'), ('imprévoyante', 'fs'), ('imprévoyantes', 'fp'), ('imprévoyants', 'mp')]",variations en genre audible et en nombre silencieuses
imprévu,"[('imprévu', 'ms'), ('imprévue', 'fs'), ('imprévues', 'fp'), ('imprévus', 'mp')]",variations en genre et en nombre silencieuses
impubliable,"[('impubliable', 's'), ('impubliables', 'p')]",variations en genre et en nombre silencieuses
impubère,"[('impubère', 's'), ('impubères', 'p')]",variations en genre et en nombre silencieuses
impudent,"[('impudent', 'ms'), ('impudente', 'fs'), ('impudentes', 'fp'), ('impudents', 'mp')]",variations en genre audible et en nombre silencieuses
impudique,"[('impudique', 's'), ('impudiques', 'p')]",variations en genre et en nombre silencieuses
impuissant,"[('impuissant', 'ms'), ('impuissante', 'fs'), ('impuissantes', 'fp'), ('impuissants', 'mp')]",variations en genre audible et en nombre silencieuses
impulsif,"[('impulsif', 'ms'), ('impulsifs', 'mp'), ('impulsive', 'fs'), ('impulsives', 'fp')]",variations en genre audible et en nombre silencieuses
impuni,"[('impuni', 'ms'), ('impunie', 'fs'), ('impunies', 'fp'), ('impunis', 'mp')]",variations en genre et en nombre silencieuses
impunissable,"[('impunissable', 's'), ('impunissables', 'p')]",variations en genre et en nombre silencieuses
impur,"[('impur', 'ms'), ('impure', 'fs'), ('impures', 'fp'), ('impurs', 'mp')]",variations en genre et en nombre silencieuses
imputable,"[('imputable', 's'), ('imputables', 'p')]",variations en genre et en nombre silencieuses
imputrescible,"[('imputrescible', 's'), ('imputrescibles', 'p')]",variations en genre et en nombre silencieuses
impécunieux,"[('impécunieuse', 'fs'), ('impécunieuses', 'fp'), ('impécunieux', 'm')]",variations en genre audible et en nombre silencieuses
impénitent,"[('impénitent', 'ms'), ('impénitente', 'fs'), ('impénitentes', 'fp'), ('impénitents', 'mp')]",variations en genre audible et en nombre silencieuses
impénétrable,"[('impénétrable', 's'), ('impénétrables', 'p')]",variations en genre et en nombre silencieuses
impératif,"[('impératif', 'ms'), ('impératifs', 'mp'), ('impérative', 'fs'), ('impératives', 'fp')]",variations en genre audible et en nombre silencieuses
impérial,"[('impérial', 'ms'), ('impériale', 'fs'), ('impériales', 'fp'), ('impériaux', 'mp')]",variations en genre silencieuses et en nombre audibles au masculin mais silencieuses au féminin
impérialiste,"[('impérialiste', 's'), ('impérialistes', 'p')]",variations en genre et en nombre silencieuses
impérieux,"[('impérieuse', 'fs'), ('impérieuses', 'fp'), ('impérieux', 'm')]",variations en genre audible et en nombre silencieuses
impérissable,"[('impérissable', 's'), ('impérissables', 'p')]",variations en genre et en nombre silencieuses
impétigineux,"[('impétigineuse', 'fs'), ('impétigineuses', 'fp'), ('impétigineux', 'm')]",variations en genre audible et en nombre silencieuses
impétueux,"[('impétueuse', 'fs'), ('impétueuses', 'fp'), ('impétueux', 'm')]",variations en genre audible et en nombre silencieuses
in,"[('in', '')]",invariable
in vitro,"[('in vitro', '')]",variations en genre et en nombre silencieuses
in-dix-huit,"[('in-dix-huit', '')]",invariable
in-douze,"[('in-douze', '')]",variations en genre et en nombre silencieuses
in-seize,"[('in-seize', '')]",variations en genre et en nombre silencieuses
inabordable,"[('inabordable', 's'), ('inabordables', 'p')]",variations en genre et en nombre silencieuses
inabrité,"[('inabrité', 'ms'), ('inabritée', 'fs'), ('inabritées', 'fp'), ('inabrités', 'mp')]",variations en genre et en nombre silencieuses
inaccentué,"[('inaccentué', 'ms'), ('inaccentuée', 'fs'), ('inaccentuées', 'fp'), ('inaccentués', 'mp')]",variations en genre et en nombre silencieuses
inacceptable,"[('inacceptable', 's'), ('inacceptables', 'p')]",variations en genre et en nombre silencieuses
inaccessible,"[('inaccessible', 's'), ('inaccessibles', 'p')]",variations en genre et en nombre silencieuses
inaccompli,"[('inaccompli', 'ms'), ('inaccomplie', 'fs'), ('inaccomplies', 'fp'), ('inaccomplis', 'mp')]",variations en genre et en nombre silencieuses
inaccordable,"[('inaccordable', 's'), ('inaccordables', 'p')]",variations en genre et en nombre silencieuses
inaccoutumé,"[('inaccoutumé', 'ms'), ('inaccoutumée', 'fs'), ('inaccoutumées', 'fp'), ('inaccoutumés', 'mp')]",variations en genre et en nombre silencieuses
inachevé,"[('inachevé', 'ms'), ('inachevée', 'fs'), ('inachevées', 'fp'), ('inachevés', 'mp')]",variations en genre et en nombre silencieuses
inactif,"[('inactif', 'ms'), ('inactifs', 'mp'), ('inactive', 'fs'), ('inactives', 'fp')]",variations en genre audible et en nombre silencieuses
inactivé,"[('inactivé', 'ms'), ('inactivée', 'fs'), ('inactivées', 'fp'), ('inactivés', 'mp')]",variations en genre et en nombre silencieuses
inactuel,"[('inactuel', 'ms'), ('inactuelle', 'fs'), ('inactuelles', 'fp'), ('inactuels', 'mp')]",variations en genre et en nombre silencieuses
inadaptable,"[('inadaptable', 's'), ('inadaptables', 'p')]",variations en genre et en nombre silencieuses
inadapté,"[('inadapté', 'ms'), ('inadaptée', 'fs'), ('inadaptées', 'fp'), ('inadaptés', 'mp')]",variations en genre et en nombre silencieuses
inadmissible,"[('inadmissible', 's'), ('inadmissibles', 'p')]",variations en genre et en nombre silencieuses
inadéquat,"[('inadéquat', 'ms'), ('inadéquate', 'fs'), ('inadéquates', 'fp'), ('inadéquats', 'mp')]",variations en genre audible et en nombre silencieuses
inaffectif,"[('inaffectif', 'ms'), ('inaffectifs', 'mp'), ('inaffective', 'fs'), ('inaffectives', 'fp')]",variations en genre audible et en nombre silencieuses
inaliénable,"[('inaliénable', 's'), ('inaliénables', 'p')]",variations en genre et en nombre silencieuses
inaltérable,"[('inaltérable', 's'), ('inaltérables', 'p')]",variations en genre et en nombre silencieuses
inaltéré,"[('inaltéré', 'ms'), ('inaltérée', 'fs'), ('inaltérées', 'fp'), ('inaltérés', 'mp')]",variations en genre et en nombre silencieuses
inamical,"[('inamical', 'ms'), ('inamicale', 'fs'), ('inamicales', 'fp'), ('inamicaux', 'mp')]",variations en genre silencieuses et en nombre audibles au masculin mais silencieuses au féminin
inamissible,"[('inamissible', 's'), ('inamissibles', 'p')]",variations en genre et en nombre silencieuses
inamovible,"[('inamovible', 's'), ('inamovibles', 'p')]",variations en genre et en nombre silencieuses
