adjectifs,ensembles des traits morpho,catégorie
extragalactique,"{'s', 'p'}",Varie en nombre
extrajudiciaire,"{'s', 'p'}",Varie en nombre
extralucide,"{'s', 'p'}",Varie en nombre
extranucléaire,"{'s', 'p'}",Varie en nombre
extraordinaire,"{'s', 'p'}",Varie en nombre
extrapyramidal,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
extraterrestre,"{'s', 'p'}",Varie en nombre
extraterritorial,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
extravagant,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
extraverti,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
extrinsèque,"{'s', 'p'}",Varie en nombre
extrorse,"{'s', 'p'}",Varie en nombre
extroverti,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
extrusif,"{'mp', 'ms', 'fp', 'fs'}",Varie en genre et en nombre
extrémal,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
extrémiste,"{'s', 'p'}",Varie en nombre
extrême,"{'s', 'p'}",Varie en nombre
extrême-oriental,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
exténuant,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
extérieur,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
extérocepteur,"{'mp', 'ms', 'fp', 'fs'}",Varie en genre et en nombre
extéroceptif,"{'mp', 'ms', 'fp', 'fs'}",Varie en genre et en nombre
exubérant,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
exultant,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
exécrable,"{'s', 'p'}",Varie en nombre
exécutable,"{'s', 'p'}",Varie en nombre
exécuteur,"{'mp', 'ms', 'fp', 'fs'}",Varie en genre et en nombre
exécutif,"{'mp', 'ms', 'fp', 'fs'}",Varie en genre et en nombre
exécutoire,"{'s', 'p'}",Varie en nombre
exégétique,"{'s', 'p'}",Varie en nombre
fabricant,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
fabulateur,"{'mp', 'ms', 'fp', 'fs'}",Varie en genre et en nombre
fabuleux,"{'fp', 'm', 'fs'}",Varie en genre et en nombre au féminin et ne varie pas en nombre au masculin
face à face,{''},Ne varie pas en genre et en nombre
facho,"{'s', 'p'}",Varie en nombre
facial,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
facile,"{'s', 'p'}",Varie en nombre
facilitant,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
factice,"{'s', 'p'}",Varie en nombre
factieux,"{'fp', 'm', 'fs'}",Varie en genre et en nombre au féminin et ne varie pas en nombre au masculin
factitif,"{'mp', 'ms', 'fp', 'fs'}",Varie en genre et en nombre
factoriel,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
factuel,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
facturable,"{'s', 'p'}",Varie en nombre
facultatif,"{'mp', 'ms', 'fp', 'fs'}",Varie en genre et en nombre
facétieux,"{'fp', 'm', 'fs'}",Varie en genre et en nombre au féminin et ne varie pas en nombre au masculin
fada,{''},Ne varie pas en genre et en nombre
fadasse,"{'s', 'p'}",Varie en nombre
fade,"{'s', 'p'}",Varie en nombre
fadé,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
faiblard,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
faible,"{'s', 'p'}",Varie en nombre
faiblissant,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
faignant,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
failli,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
faillible,"{'s', 'p'}",Varie en nombre
faillé,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
fainéant,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
fair-play,{''},Ne varie pas en genre et en nombre
faisable,"{'s', 'p'}",Varie en nombre
faisandé,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
fait,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
falciforme,"{'s', 'p'}",Varie en nombre
fallacieux,"{'fp', 'm', 'fs'}",Varie en genre et en nombre au féminin et ne varie pas en nombre au masculin
falot,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
falsifiable,"{'s', 'p'}",Varie en nombre
fameux,"{'fp', 'm', 'fs'}",Varie en genre et en nombre au féminin et ne varie pas en nombre au masculin
familial,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
familier,"{'mp', 'ms', 'fp', 'fs'}",Varie en genre et en nombre
famé,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
famélique,"{'s', 'p'}",Varie en nombre
fana,"{'s', 'p'}",Varie en nombre
fanatique,"{'s', 'p'}",Varie en nombre
fanfaron,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
fangeux,"{'fp', 'm', 'fs'}",Varie en genre et en nombre au féminin et ne varie pas en nombre au masculin
fantaisie,{''},Ne varie pas en genre et en nombre
fantaisiste,"{'s', 'p'}",Varie en nombre
fantasmagorique,"{'s', 'p'}",Varie en nombre
fantasmatique,"{'s', 'p'}",Varie en nombre
fantasque,"{'s', 'p'}",Varie en nombre
fantastique,"{'s', 'p'}",Varie en nombre
fantoche,"{'s', 'p'}",Varie en nombre
fantomatique,"{'s', 'p'}",Varie en nombre
fantôme,"{'s', 'p'}",Varie en nombre
fané,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
faradique,"{'s', 'p'}",Varie en nombre
faramineux,"{'fp', 'm', 'fs'}",Varie en genre et en nombre au féminin et ne varie pas en nombre au masculin
faraud,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
farce,{''},Ne varie pas en genre et en nombre
farceur,"{'mp', 'ms', 'fp', 'fs'}",Varie en genre et en nombre
farci,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
fardé,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
farfelu,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
farinacé,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
farineux,"{'fp', 'm', 'fs'}",Varie en genre et en nombre au féminin et ne varie pas en nombre au masculin
farouche,"{'s', 'p'}",Varie en nombre
fasciculé,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
fascinant,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
fascinateur,"{'mp', 'ms', 'fp', 'fs'}",Varie en genre et en nombre
fascisant,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
fasciste,"{'s', 'p'}",Varie en nombre
fascié,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
fascé,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
fassi,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
faste,"{'s', 'p'}",Varie en nombre
fastidieux,"{'fp', 'm', 'fs'}",Varie en genre et en nombre au féminin et ne varie pas en nombre au masculin
fastigié,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
fastueux,"{'fp', 'm', 'fs'}",Varie en genre et en nombre au féminin et ne varie pas en nombre au masculin
fat,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
fatal,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
fataliste,"{'s', 'p'}",Varie en nombre
fatidique,"{'s', 'p'}",Varie en nombre
fatigable,"{'s', 'p'}",Varie en nombre
fatigant,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
fatigué,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
faubourien,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
fauché,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
faunesque,"{'s', 'p'}",Varie en nombre
faunique,"{'s', 'p'}",Varie en nombre
faux,"{'fp', 'm', 'fs'}",Varie en genre et en nombre au féminin et ne varie pas en nombre au masculin
faustien,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
fautif,"{'mp', 'ms', 'fp', 'fs'}",Varie en genre et en nombre
fauve,"{'s', 'p'}",Varie en nombre
favorable,"{'s', 'p'}",Varie en nombre
favori,"{'mp', 'ms', 'fp', 'fs'}",Varie en genre et en nombre
favorisant,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
façonnier,"{'mp', 'ms', 'fp', 'fs'}",Varie en genre et en nombre
faîtier,"{'mp', 'ms', 'fp', 'fs'}",Varie en genre et en nombre
faïencier,"{'mp', 'ms', 'fp', 'fs'}",Varie en genre et en nombre
faïencé,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
feignant,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
feldspathique,"{'s', 'p'}",Varie en nombre
fellinien,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
femelle,"{'', 's', 'p'}",Varie en nombre
fendant,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
fendillé,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
fendu,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
fenestré,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
fenian,"{'s', 'p'}",Varie en nombre
fenêtré,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
fermant,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
ferme,"{'s', 'p'}",Varie en nombre
fermentable,"{'s', 'p'}",Varie en nombre
fermentant,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
fermentatif,"{'mp', 'ms', 'fp', 'fs'}",Varie en genre et en nombre
fermentescible,"{'s', 'p'}",Varie en nombre
fermenté,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
fermier,"{'mp', 'ms', 'fp', 'fs'}",Varie en genre et en nombre
fermé,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
ferrant,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
ferreux,"{'fp', 'm', 'fs'}",Varie en genre et en nombre au féminin et ne varie pas en nombre au masculin
ferrique,"{'s', 'p'}",Varie en nombre
ferroviaire,"{'s', 'p'}",Varie en nombre
ferrugineux,"{'fp', 'm', 'fs'}",Varie en genre et en nombre au féminin et ne varie pas en nombre au masculin
ferré,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
fertile,"{'s', 'p'}",Varie en nombre
fertilisable,"{'s', 'p'}",Varie en nombre
fertilisant,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
fervent,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
fessier,"{'mp', 'ms', 'fp', 'fs'}",Varie en genre et en nombre
fessu,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
festif,"{'mp', 'ms', 'fp', 'fs'}",Varie en genre et en nombre
festival,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
festivalier,"{'mp', 'ms', 'fp', 'fs'}",Varie en genre et en nombre
feu,{''},Ne varie pas en genre et en nombre
feudataire,"{'s', 'p'}",Varie en nombre
feuillard,{'ms'},Ne varie pas en nombre
feuille-morte,{''},Ne varie pas en genre et en nombre
feuilletonesque,"{'s', 'p'}",Varie en nombre
feuilletonnesque,"{'s', 'p'}",Varie en nombre
feuilleté,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
feuillu,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
feuillé,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
feutrant,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
feutré,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
fiable,"{'s', 'p'}",Varie en nombre
fiancé,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
fibreux,"{'fp', 'm', 'fs'}",Varie en genre et en nombre au féminin et ne varie pas en nombre au masculin
fibrillaire,"{'s', 'p'}",Varie en nombre
fibrillé,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
fibrineux,"{'fp', 'm', 'fs'}",Varie en genre et en nombre au féminin et ne varie pas en nombre au masculin
fibromateux,"{'fp', 'm', 'fs'}",Varie en genre et en nombre au féminin et ne varie pas en nombre au masculin
ficelé,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
fichant,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
fichiste,"{'s', 'p'}",Varie en nombre
fichu,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
fictif,"{'mp', 'ms', 'fp', 'fs'}",Varie en genre et en nombre
fiduciaire,"{'s', 'p'}",Varie en nombre
fidèle,"{'s', 'p'}",Varie en nombre
fidéicommissaire,"{'s', 'p'}",Varie en nombre
fidéiste,"{'s', 'p'}",Varie en nombre
fidéjussoire,"{'s', 'p'}",Varie en nombre
fieffé,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
fielleux,"{'fp', 'm', 'fs'}",Varie en genre et en nombre au féminin et ne varie pas en nombre au masculin
fier,"{'mp', 'ms', 'fp', 'fs'}",Varie en genre et en nombre
fignoleur,"{'mp', 'ms', 'fp', 'fs'}",Varie en genre et en nombre
figue,{''},Ne varie pas en genre et en nombre
figulin,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
figuratif,"{'mp', 'ms', 'fp', 'fs'}",Varie en genre et en nombre
figuriste,"{'s', 'p'}",Varie en nombre
figuré,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
figé,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
filable,"{'s', 'p'}",Varie en nombre
filaire,"{'s', 'p'}",Varie en nombre
filamenteux,"{'fp', 'm', 'fs'}",Varie en genre et en nombre au féminin et ne varie pas en nombre au masculin
filandier,"{'mp', 'ms', 'fp', 'fs'}",Varie en genre et en nombre
filandreux,"{'fp', 'm', 'fs'}",Varie en genre et en nombre au féminin et ne varie pas en nombre au masculin
filant,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
filasse,{''},Ne varie pas en genre et en nombre
fileté,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
fileur,"{'mp', 'ms', 'fp', 'fs'}",Varie en genre et en nombre
filial,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
filiforme,"{'s', 'p'}",Varie en nombre
filiolé,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
fille,"{'s', 'p'}",Varie en nombre
filmable,"{'s', 'p'}",Varie en nombre
filmique,"{'s', 'p'}",Varie en nombre
filonien,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
filou,{''},Ne varie pas en genre et en nombre
filtrable,"{'s', 'p'}",Varie en nombre
filtrant,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
filé,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
fin,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
final,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
finaliste,"{'s', 'p'}",Varie en nombre
finalitaire,"{'s', 'p'}",Varie en nombre
financier,"{'mp', 'ms', 'fp', 'fs'}",Varie en genre et en nombre
finasseur,"{'mp', 'ms', 'fp', 'fs'}",Varie en genre et en nombre
finassier,"{'mp', 'ms', 'fp', 'fs'}",Varie en genre et en nombre
finaud,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
fini,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
finissant,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
finlandais,"{'m', 'fp', 'fs'}",Varie en genre et en nombre au féminin et ne varie pas en nombre au masculin
finno-ougrien,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
finnois,"{'m', 'fp', 'fs'}",Varie en genre et en nombre au féminin et ne varie pas en nombre au masculin
fiscal,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
fisco-financier,"{'mp', 'ms', 'fp', 'fs'}",Varie en genre et en nombre
fissible,"{'s', 'p'}",Varie en nombre
fissile,"{'s', 'p'}",Varie en nombre
fistulaire,"{'s', 'p'}",Varie en nombre
fistuleux,"{'fp', 'm', 'fs'}",Varie en genre et en nombre au féminin et ne varie pas en nombre au masculin
fixateur,"{'mp', 'ms', 'fp', 'fs'}",Varie en genre et en nombre
fixe,"{'s', 'p'}",Varie en nombre
fixiste,"{'s', 'p'}",Varie en nombre
fixé,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
fiérot,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
fiévreux,"{'fp', 'm', 'fs'}",Varie en genre et en nombre au féminin et ne varie pas en nombre au masculin
flache,"{'s', 'p'}",Varie en nombre
flacheux,"{'fp', 'm', 'fs'}",Varie en genre et en nombre au féminin et ne varie pas en nombre au masculin
flagada,{''},Ne varie pas en genre et en nombre
flagellaire,"{'s', 'p'}",Varie en nombre
flagellateur,"{'mp', 'ms', 'fp', 'fs'}",Varie en genre et en nombre
flagellé,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
flageolant,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
flagorneur,"{'mp', 'ms', 'fp', 'fs'}",Varie en genre et en nombre
flagrant,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
flaireur,"{'mp', 'ms', 'fp', 'fs'}",Varie en genre et en nombre
flamand,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
flambant,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
flambeur,"{'mp', 'ms', 'fp', 'fs'}",Varie en genre et en nombre
flamboyant,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
flambé,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
flamenco,"{'s', 'p'}",Varie en nombre
flamingant,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
flammé,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
flandrin,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
flanquant,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
flapi,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
flash,{''},Ne varie pas en genre et en nombre
flasque,"{'s', 'p'}",Varie en nombre
flat,"{'s', 'p'}",Varie en nombre
flatteur,"{'mp', 'ms', 'fp', 'fs'}",Varie en genre et en nombre
flatulent,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
flavescent,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
flegmatique,"{'s', 'p'}",Varie en nombre
flemmard,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
fleur,{''},Ne varie pas en genre et en nombre
fleurdelisé,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
fleuri,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
fleurissant,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
fleuriste,"{'s', 'p'}",Varie en nombre
fleuronné,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
fleuve,"{'s', 'p'}",Varie en nombre
flexible,"{'s', 'p'}",Varie en nombre
flexionnel,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
flirteur,"{'mp', 'ms', 'fp', 'fs'}",Varie en genre et en nombre
floche,"{'s', 'p'}",Varie en nombre
floconneux,"{'fp', 'm', 'fs'}",Varie en genre et en nombre au féminin et ne varie pas en nombre au masculin
flood,{''},Ne varie pas en genre et en nombre
floral,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
florentin,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
floresque,"{'s', 'p'}",Varie en nombre
floricole,"{'s', 'p'}",Varie en nombre
florifère,"{'s', 'p'}",Varie en nombre
florissant,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
floristique,"{'s', 'p'}",Varie en nombre
flosculeux,"{'fp', 'm', 'fs'}",Varie en genre et en nombre au féminin et ne varie pas en nombre au masculin
flottable,"{'s', 'p'}",Varie en nombre
flottant,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
flottard,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
flotté,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
flou,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
fluctuant,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
fluent,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
fluet,"{'mp', 'ms', 'fp', 'fs'}",Varie en genre et en nombre
fluide,"{'s', 'p'}",Varie en nombre
fluidifiant,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
fluidifié,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
fluidique,"{'s', 'p'}",Varie en nombre
fluor,{''},Ne varie pas en genre et en nombre
fluorescent,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
fluorhydrique,"{'s', 'p'}",Varie en nombre
fluoré,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
fluvial,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
fluviatile,"{'s', 'p'}",Varie en nombre
fluviométrique,"{'s', 'p'}",Varie en nombre
fléchissant,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
fléchisseur,"{'mp', 'ms', 'fp', 'fs'}",Varie en genre et en nombre
fléché,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
flémard,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
flétri,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
flétrissant,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
flûté,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
focal,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
foetal,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
foufou,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
foireux,"{'fp', 'm', 'fs'}",Varie en genre et en nombre au féminin et ne varie pas en nombre au masculin
foisonnant,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
fol,{'ms'},Ne varie pas en nombre
fou,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
folasse,"{'s', 'p'}",Varie en nombre
foliacé,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
foliaire,"{'s', 'p'}",Varie en nombre
folichon,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
folique,"{'s', 'p'}",Varie en nombre
folié,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
folk,"{'s', 'p'}",Varie en nombre
folklorique,"{'s', 'p'}",Varie en nombre
follet,"{'mp', 'ms', 'fp', 'fs'}",Varie en genre et en nombre
folliculaire,"{'s', 'p'}",Varie en nombre
folâtrant,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
folâtre,"{'s', 'p'}",Varie en nombre
fonceur,"{'mp', 'ms', 'fp', 'fs'}",Varie en genre et en nombre
foncier,"{'mp', 'ms', 'fp', 'fs'}",Varie en genre et en nombre
fonctionnel,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
foncé,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
fondamental,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
fondamentaliste,"{'s', 'p'}",Varie en nombre
fondant,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
fondateur,"{'mp', 'ms', 'fp', 'fs'}",Varie en genre et en nombre
fondu,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
fondé,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
fongible,"{'s', 'p'}",Varie en nombre
fongicide,"{'s', 'p'}",Varie en nombre
fongiforme,"{'s', 'p'}",Varie en nombre
fongique,"{'s', 'p'}",Varie en nombre
fongistatique,"{'s', 'p'}",Varie en nombre
fongueux,"{'fp', 'm', 'fs'}",Varie en genre et en nombre au féminin et ne varie pas en nombre au masculin
forain,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
foraminé,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
forcené,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
forclos,"{'m', 'fp', 'fs'}",Varie en genre et en nombre au féminin et ne varie pas en nombre au masculin
forestier,"{'mp', 'ms', 'fp', 'fs'}",Varie en genre et en nombre
forfait,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
forfaitaire,"{'s', 'p'}",Varie en nombre
forgeable,"{'s', 'p'}",Varie en nombre
forgé,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
formaliste,"{'s', 'p'}",Varie en nombre
formalisé,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
formateur,"{'mp', 'ms', 'fp', 'fs'}",Varie en genre et en nombre
formatif,"{'mp', 'ms', 'fp', 'fs'}",Varie en genre et en nombre
formaté,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
formel,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
formicant,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
formidable,"{'s', 'p'}",Varie en nombre
formique,"{'s', 'p'}",Varie en nombre
formosan,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
formulable,"{'s', 'p'}",Varie en nombre
formé,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
fort,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
fortiche,"{'s', 'p'}",Varie en nombre
fortifiant,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
fortrait,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
fortuit,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
fortuné,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
fossile,"{'s', 'p'}",Varie en nombre
fossilifère,"{'s', 'p'}",Varie en nombre
fossilisé,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
foudroyant,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
fouettard,{'ms'},Ne varie pas en nombre
fouetté,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
fougueux,"{'fp', 'm', 'fs'}",Varie en genre et en nombre au féminin et ne varie pas en nombre au masculin
fouillis,{''},Ne varie pas en genre et en nombre
fouillé,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
fouinard,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
fouineur,"{'mp', 'ms', 'fp', 'fs'}",Varie en genre et en nombre
fouisseur,"{'mp', 'ms', 'fp', 'fs'}",Varie en genre et en nombre
foulant,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
fourbe,"{'s', 'p'}",Varie en nombre
fourbu,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
